y,wl,ra6,ra12
477,1151.77,1151.30,1151.57083333333
478,1151.75,1151.45,1151.74083333333
479,1152.95,1151.82,1151.77833333333
480,1152.87,1152.21,1151.71333333333
481,1150.4,1152.05,1151.47
482,1148.29,1151.33833333333,1151.23916666667
483,1148.63,1150.815,1151.06
484,1149.06,1150.36666666667,1150.91
485,1149.85,1149.85,1150.83
486,1151.22,1149.575,1150.89
487,1152.85,1149.98,1151.02
488,1153.61,1150.87,1151.10416666667
489,1154.4,1151.83,1151.32333333333
490,1156.84,1153.12833333333,1151.7475
491,1160.13,1154.84166666667,1152.34583333333
492,1162.27,1156.68333333333,1153.12916666667
493,1160.94,1158.03166666667,1154.01
494,1156.12,1158.45,1154.66
495,1154.74,1158.51,1155.17
496,1154.35,1158.09,1155.61
497,1154.6,1157.17,1156.00583333333
498,1154.84,1155.93166666667,1156.3075
499,1156.28,1155.155,1156.59333333333
500,1158.49,1155.55,1157
501,1161.59,1156.69166666667,1157.60
502,1163.82,1158.27,1158.18
503,1168.35,1160.56,1158.87
504,1172.75,1163.55,1159.73916666667
505,1174.73,1166.62,1160.88833333333
506,1178.78,1170.00,1162.77666666667
507,1186.14,1174.10,1165.39333333333
508,1185.93,1177.78,1168.025
509,1186.34,1180.78,1170.67
510,1184.89,1182.80,1173.17
511,1182.28,1184.06,1175.34
512,1180.26,1184.31,1177.16
513,1179.47,1183.20,1178.65
514,1178.7,1181.99,1179.89
515,1176.92,1180.42,1180.60
516,1180.14,1179.62833333333,1181.22
517,1178.08,1178.92833333333,1181.49
518,1174.95,1178.04333333333,1181.18
519,1171.35,1176.69,1179.94
520,1169.68,1175.19,1178.59
521,1169.6,1173.97,1177.19333333333
522,1171.87,1172.58833333333,1176.10833333333
523,1173.3,1171.79166666667,1175.36
524,1173.99,1171.63166666667,1174.8375
525,1173.83,1172.045,1174.3675
526,1175.67,1173.04333333333,1174.12
527,1176.8,1174.24333333333,1174.11
528,1178.74,1175.38833333333,1173.98833333333
529,1178.38,1176.235,1174.01333333333
530,1177.13,1176.75833333333,1174.195
531,1174.18,1176.81666666667,1174.43083333333
532,1173.66,1176.48166666667,1174.7625
533,1174.48,1176.10,1175.16916666667
534,1176.97,1175.80,1175.59416666667
535,1178.16,1175.76,1175.99916666667
536,1180.1,1176.26,1176.50833333333
537,1180.41,1177.29666666667,1177.05666666667
538,1179.64,1178.29333333333,1177.3875
539,1179.63,1179.15166666667,1177.62
540,1180.93,1179.81166666667,1177.81
541,1182.9,1180.60166666667,1178.18
542,1181.25,1180.79333333333,1178.53
